address,business_area,cityname,lat,lon,name,pname,type
城南镇磨子潭路,,六安市,31.704784892512688,116.46678113395168,六安市城南中学,安徽省,科教文化服务;学校;中学
平桥路与齐云西路交叉口西北角,,六安市,31.744007711390996,116.47181053447629,六安市第九中学,安徽省,科教文化服务;学校;中学
分路口镇收费站旁,,六安市,31.75629340117911,116.32214288062296,六安新世纪学校,安徽省,科教文化服务;学校;中学
[],,六安市,31.861262507761246,116.49818916546533,六安市新安中学,安徽省,科教文化服务;学校;中学
徐集镇裕安区,,六安市,31.84515325047519,116.35509814268124,徐集镇初级中学,安徽省,科教文化服务;学校;中学
152乡道城西小学附近,,六安市,31.808346655872075,116.47935156640555,城西中学,安徽省,科教文化服务;学校;中学
经济开发区将军路,,六安市,31.738896167476,116.46213394803904,六安振华职业中专学校,安徽省,科教文化服务;学校;职业技术学校
顺河镇安城村,,六安市,31.964899450835283,116.48817755340187,安城中学,安徽省,科教文化服务;学校;中学
分路口镇街道油坊村,,六安市,31.747295268531396,116.31952309051817,分路口初级中学,安徽省,科教文化服务;学校;中学
韩摆渡镇,,六安市,31.67160663028149,116.34701289282125,韩摆渡中学,安徽省,科教文化服务;学校;中学
青山乡,,六安市,31.55358689018013,116.37624024726503,裕安区青山乡青山初中,安徽省,科教文化服务;学校;中学
解放中路462号,,六安市,31.764078270926813,116.49337523781627,六安市轻工中学,安徽省,科教文化服务;学校;中学
009县道与319乡道交叉口西北180米,,六安市,31.778734332895144,116.38152275795643,淠联初级中学,安徽省,科教文化服务;学校;中学
石婆店镇婆店镇,,六安市,31.666490584555866,116.14236738938091,裕安中学石婆店校区,安徽省,科教文化服务;学校;中学
霍山路与黄巢尖路交叉口东20米,,六安市,31.72025432852079,116.47510634713655,皋德职校,安徽省,科教文化服务;学校;职业技术学校
春华路与金园路交口,,六安市,31.70312941203253,116.48396344201244,春华路学校,安徽省,科教文化服务;学校;中学
育才路与019县道交叉口西南160米,,六安市,31.612941838448727,116.21442660792825,裕安中学旁优质学区房,安徽省,科教文化服务;科教文化场所;科教文化场所
独山路82号,,六安市,31.788883908022903,116.42034664871018,六安市裕安区平桥乡高皇学校,安徽省,科教文化服务;学校;中学
长安南路与南华路交叉口东280米,,六安市,31.73204110429175,116.50336420087558,安徽省皖西中学(初中部),安徽省,科教文化服务;学校;中学
011县道与卫大尖路交叉口东180米,,六安市,31.612204275766757,116.28602598986475,裕安区独山镇龙井初中,安徽省,科教文化服务;学校;中学
016县道与092乡道交叉口西南200米,,六安市,31.943603315470863,116.35514410766656,裕安区丁集学校,安徽省,科教文化服务;学校;中学
大海超市斜对面(245省道东),,六安市,32.010973458228655,116.36576326251777,六安市钱集初中,安徽省,科教文化服务;学校;中学
城南大道与创新路交叉口东北100米,,六安市,31.67977882586507,116.47502467443118,六安九中开发区校区,安徽省,科教文化服务;科教文化场所;科教文化场所
莲香路与七门堰路交叉口西南140米,,六安市,31.77586271419379,116.4661939724043,赤壁路初级中学(建设中),安徽省,科教文化服务;学校;中学
[],,六安市,32.32061109631459,116.27879092345546,霍邱正华外语学校,安徽省,科教文化服务;学校;中学
东环路,,六安市,32.32488955655277,116.28819281798125,霍邱县育英学校,安徽省,科教文化服务;学校;中学
[],,六安市,32.04925360851102,116.24143798986671,夏店中心学校,安徽省,科教文化服务;学校;中学
花园镇刘李街道,,六安市,32.09279671670264,116.42005256139825,霍邱县花园镇刘李中学,安徽省,科教文化服务;学校;中学
孟集镇孟集街道,,六安市,32.18942328718333,116.41532233060302,孟集镇润萌学校,安徽省,科教文化服务;学校;中学
宋店乡俞林村,,六安市,32.25851595768215,116.24455423440631,俞林中学,安徽省,科教文化服务;学校;中学
石店街道与淮海路交叉口西300米,,六安市,32.26944581005638,116.02597053532257,石店育才学校,安徽省,科教文化服务;学校;中学
孟集镇郭圩街道,,六安市,32.24589542477477,116.42396575021563,孟集镇王圩中学,安徽省,科教文化服务;学校;中学
河口镇杨窑路河口中学,,六安市,32.135854315610054,116.09239351930506,霍邱县河口中学,安徽省,科教文化服务;学校;中学
城关镇平安驾校北100米,,六安市,32.34908058351416,116.29661093139505,新店镇初级中学,安徽省,科教文化服务;学校;中学
龙潭镇105国道好又多超市,,六安市,32.19938373985081,115.98877420669137,霍邱县龙潭镇中心学校,安徽省,科教文化服务;学校;中学
035县道与长沟路交叉口东160米,,六安市,32.08338767682745,116.09119193700514,霍邱县乌龙镇陡岗学校,安徽省,科教文化服务;科教文化场所;科教文化场所
周集镇周集街道,,六安市,32.49275906111125,116.01619112753933,霍邱县周集中学,安徽省,科教文化服务;学校;中学
孟集镇,,六安市,32.13746907907709,116.38472002692289,孟集镇中心店初中,安徽省,科教文化服务;学校;中学
育才路,,六安市,32.342678957887166,116.26993798038228,霍邱县第二中学,安徽省,科教文化服务;学校;中学
周集镇闸上村,,六安市,32.52590276019339,116.08255367814725,分水闸中学,安徽省,科教文化服务;科教文化场所;科教文化场所
高塘镇渠东村,,六安市,32.328796610763305,115.97988167742959,高塘镇吴集中学,安徽省,科教文化服务;学校;中学
[],,六安市,32.44549664800794,116.31739595848647,临淮岗镇初级中学,安徽省,科教文化服务;学校;中学
周集镇燎东村,,六安市,32.50939145089114,116.00337025196163,周集镇开元中学,安徽省,科教文化服务;学校;中学
039县道附近,,六安市,32.51173743730369,116.00023278625594,周集镇中心学校,安徽省,科教文化服务;学校;中学
马店镇西大街,,六安市,32.27208327685141,115.95951184944019,金马学校,安徽省,科教文化服务;学校;学校
163乡道西50米,,六安市,32.117666989029836,116.00207026660942,户胡镇中心学校,安徽省,科教文化服务;学校;中学|科教文化服务;学校;小学
彭塔乡左窑路,,六安市,32.11451784771118,116.47719092990071,彭塔中心学校,安徽省,科教文化服务;学校;中学
曹庙镇吴阳集,,六安市,31.993630916777622,116.24542425289506,霍邱县吴阳初中,安徽省,科教文化服务;学校;中学
[],,六安市,32.29293266581567,116.43284517990999,潘集中学,安徽省,科教文化服务;学校;中学
冯井镇杭庙村,,六安市,32.336061333226446,115.92010868912809,霍邱县冯井镇杭庙初级中学,安徽省,科教文化服务;学校;中学
下骆山路,,六安市,32.30986553717749,116.27551959776928,霍邱县文峰高级中学,安徽省,科教文化服务;学校;中学
大成路霍邱中学,,六安市,32.35306199905748,116.28302261271178,霍邱县农机校初中部,安徽省,科教文化服务;学校;中学
105国道与015乡道交叉口西220米,,六安市,32.48551961956813,115.97356708609412,富矿子弟学校,安徽省,科教文化服务;学校;中学
众兴集路与洪集路交叉口东160米,,六安市,32.31504936731793,116.25938812128159,霍邱县第一中学城南分校,安徽省,科教文化服务;学校;中学
135乡道与310省道交叉口西南160米,,六安市,32.20249597046313,116.23340043193316,霍邱县宋店乡中心学校,安徽省,科教文化服务;学校;中学
范桥镇代店初级中学,,六安市,32.46213164027387,115.98838040354806,霍邱县范桥镇代店初级中学,安徽省,科教文化服务;学校;中学
冯瓴乡22,,六安市,32.27200028009654,116.51106006121182,沈台初级中学,安徽省,科教文化服务;学校;中学
霍邱二院旁边,,六安市,32.270173166920486,116.0262367609902,育才中学,安徽省,科教文化服务;学校;中学
纬十二路与规划路交叉口南20米,,六安市,32.32178066567155,116.27997937650059,正华学校高中部,安徽省,科教文化服务;学校;中学
城关镇双惠家园北七里,,六安市,32.38854233709952,116.27704476492964,霍邱县诚信实验中学,安徽省,科教文化服务;学校;中学
明德路与顺河街交叉口北380米,,六安市,32.406462901903765,116.03092101955372,霍邱县高塘镇中心学校,安徽省,科教文化服务;学校;中学
双湖东路,,六安市,32.34263797412542,116.29516101137501,霍邱县第三中学,安徽省,科教文化服务;科教文化场所;科教文化场所
京澳线马店中学,,六安市,32.278879014843575,115.96553347161503,霍邱县马店镇中心学校,安徽省,科教文化服务;学校;中学
城关镇蓼城路96号,,六安市,32.34082853402746,116.29419281064814,霍邱县第一中学,安徽省,科教文化服务;学校;中学
王截流乡陈郢村,,六安市,32.46688408154479,116.11107563992996,霍邱县陈郢学校,安徽省,科教文化服务;学校;学校
城关镇东湖路,,六安市,32.329612038574076,116.28292487883438,霍邱农机校初中,安徽省,科教文化服务;学校;中学
众兴镇西皋街道,,六安市,31.969604330729663,116.10606587621638,西皋学校,安徽省,科教文化服务;学校;中学
扈胡镇高镇中学,,六安市,32.04961658859082,115.95141408301002,霍邱县高镇中学,安徽省,科教文化服务;学校;中学
石店镇五塔街道,,六安市,32.351193439320106,116.10656608695929,五塔中学,安徽省,科教文化服务;科教文化场所;科教文化场所
新店镇唐店子,,六安市,32.37725879758414,116.30755806245942,霍邱县兴华中学,安徽省,科教文化服务;学校;中学
310省道东150米,,六安市,32.4148686274519,116.38719816095482,安徽省霍邱县新店镇初级中学,安徽省,科教文化服务;学校;中学
141乡道与310省道交叉口东北100米,,六安市,32.13752532904243,116.21126471875566,岔路镇中心学校,安徽省,科教文化服务;学校;中学
冯瓴镇,,六安市,32.19078355544578,116.44347101785189,新仓学校,安徽省,科教文化服务;学校;中学
蓼城路372号,,六安市,32.35367202475132,116.28447557540969,霍邱中学,安徽省,科教文化服务;学校;中学
冯瓴镇桃园村,,六安市,32.27200133522202,116.51107912402654,沈台中学,安徽省,科教文化服务;学校;中学
周集镇,,六安市,32.57885236079686,115.99246787871027,朱港二中,安徽省,科教文化服务;学校;中学
众兴集镇街道,,六安市,32.010295218545764,116.13474221608082,霍邱县众兴集镇中心学校,安徽省,科教文化服务;学校;中学
245省道与017县道交叉口西北180米,,六安市,32.36982115500459,116.45957525733667,霍邱县潘集镇左王初中,安徽省,科教文化服务;学校;中学
163乡道东50米,,六安市,32.083193989465,116.16692469952433,长集镇中心学校,安徽省,科教文化服务;学校;中学
长集镇长集街道文昌路40号,,六安市,32.065125236829985,116.16969644391163,霍邱县长集中学,安徽省,科教文化服务;学校;中学
城关镇五岳路第二中学附近,,六安市,32.330642681857476,116.26272812224379,霍邱县第二中学,安徽省,科教文化服务;学校;中学
河口镇,,六安市,32.12193553542718,116.0653151470462,草楼初级中学,安徽省,科教文化服务;学校;中学
马店镇,,六安市,32.27866732887267,115.96578181779056,马店中学,安徽省,科教文化服务;学校;中学
白莲乡,,六安市,32.22523883039065,116.03956248773221,牛集中学,安徽省,科教文化服务;学校;中学
007乡道与赵王路交叉口东南120米,,六安市,32.52942928706566,115.92772088564816,临水李集初中,安徽省,科教文化服务;学校;中学
经济开发区白庙街道,,六安市,32.35373678350928,115.94695638403442,安徽霍邱经济开发区白庙初级中学,安徽省,科教文化服务;学校;中学
五岳路,,六安市,32.330432851436704,116.26247327937044,霍邱二中初中部,安徽省,科教文化服务;学校;中学
众兴集镇政府,,六安市,32.010397348313575,116.1348133586817,众兴集中学,安徽省,科教文化服务;学校;中学
026县道附近,,六安市,32.13016833880843,116.50669519004387,彭塔乡初级中学,安徽省,科教文化服务;学校;中学
037县道东100米,,六安市,32.15895701495438,116.31004710403681,三流中学,安徽省,科教文化服务;学校;中学
039县道附近,,六安市,32.50586639787237,115.96351327244784,宏志实验中学,安徽省,科教文化服务;学校;中学
二黄路,,六安市,31.622611047736818,116.67788731730099,六安市孙岗高级职业中学,安徽省,科教文化服务;学校;职业技术学校
六安开发区新城二路与正阳路交汇处西北角,,六安市,31.82760723115514,116.53963106890761,安徽省六安外国语学校,安徽省,科教文化服务;学校;中学
前进路,,六安市,31.531712353182275,116.58126392307375,六安市张店中学,安徽省,科教文化服务;学校;中学
解放中路699号,,六安市,31.775021851818217,116.49671874921873,安徽省六安第一中学(老校区),安徽省,科教文化服务;学校;中学
双河镇,,六安市,31.50584313207297,116.74678011413582,金安区九十铺中学,安徽省,科教文化服务;学校;中学
皖西大道767号,,六安市,31.756609749362415,116.53064167266362,安徽省六安第一中学东校区,安徽省,科教文化服务;学校;中学
皖西大道经二路,,六安市,31.763655921106267,116.54385062092206,安徽省六安中学,安徽省,科教文化服务;学校;中学
东桥镇006县道东50米,,六安市,31.911308267092043,116.67644739618385,东桥初级中学,安徽省,科教文化服务;学校;中学
016乡道与迎宾大道交叉口西南160米,,六安市,31.6638155051419,116.597359945652,范庵初级中学,安徽省,科教文化服务;科教文化场所;科教文化场所
光明路245号,,六安市,31.770503967179803,116.49931704429889,六安市汇文中学,安徽省,科教文化服务;学校;中学
三十铺镇和平路443号,,六安市,31.77758306665661,116.62798765071119,六安市汇文学校,安徽省,科教文化服务;学校;中学
梅山北路皋城中学对面状元楼,,六安市,31.768553265974028,116.49917573334479,六安皋城中学,安徽省,科教文化服务;学校;中学
大别山路44号,,六安市,31.749242225885958,116.49702106049034,六安第二中学,安徽省,科教文化服务;学校;中学
东桥镇潘店街道,,六安市,31.85635592513957,116.64592394178145,潘店中学,安徽省,科教文化服务;学校;中学
周集路与九里沟路交汇处西北角,,六安市,31.792267195131046,116.51081981664774,六安市清水河学校初中部,安徽省,科教文化服务;学校;中学
施桥镇惠明路,,六安市,31.533494116598007,116.70196108735271,六安市金安区施桥初级中学,安徽省,科教文化服务;学校;中学
松林路与金安大道交汇处东北100米,,六安市,31.776364738753244,116.62251922697071,六安市智恒中学,安徽省,科教文化服务;学校;中学
皋城西路291号,,六安市,31.764139077884614,116.49631231592687,六安市田家炳实验中学,安徽省,科教文化服务;学校;中学
孙岗镇椿大路,,六安市,31.60915426962517,116.725277180743,金安区孙岗镇许小河学校,安徽省,科教文化服务;学校;中学
东三十铺镇四十铺村,,六安市,31.77806442636028,116.69056060067295,枣树中学,安徽省,科教文化服务;学校;中学
梅山南路与丹桂路交叉口,,六安市,31.686562248724528,116.54117807527103,汇文中学南山校区,安徽省,科教文化服务;学校;中学
梅山南路729号,,六安市,31.688228762399117,116.54182847532101,汇文中学,安徽省,科教文化服务;学校;中学
锦绣路与南山大道交叉口,,六安市,31.7075268083999,116.54904272442023,安徽省六安第一中学,安徽省,科教文化服务;学校;中学
石笋路与大柳树巷交叉口北180米,,六安市,31.35389630959718,116.56903929084693,六安市毛坦厂中学,安徽省,科教文化服务;学校;中学
安徽省 六安市 金安区 003县道,,六安市,31.722759642267295,116.59818545222346,六安市金安区先生店乡中心学校,安徽省,科教文化服务;学校;中学
郝岗路,,六安市,31.746435603241643,116.53151297172006,六安市毛坦厂中学实验学校,安徽省,科教文化服务;学校;中学
正阳路西100米,,六安市,31.775339170834165,116.53638044098805,六安经济技术开发区皋陶学校,安徽省,科教文化服务;学校;中学
东苑路378号,,六安市,31.754499649047336,116.52149007464872,六安皋城中学金安路校区,安徽省,科教文化服务;学校;中学
三十铺镇金铺商贸城,,六安市,31.769297369163194,116.63658938967791,六安市三十铺学校,安徽省,科教文化服务;学校;中学
G237马头镇中心学校,,六安市,31.97816592469143,116.59095156955401,金安区马头镇十字路初级中学,安徽省,科教文化服务;学校;中学
城北乡迎宾大道路,,六安市,31.822431365470024,116.52718510463367,金安区城北乡中心学校,安徽省,科教文化服务;科教文化场所;科教文化场所
中店乡汪神村,,六安市,31.659415690010384,116.55288340647789,中店乡汪神学校,安徽省,科教文化服务;学校;中学
